date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:38:27	251867/251867	URF---	200	added ('OK%20(cached)')	image/jpeg		https://images.unsplash.com/photo-1707903244219-8ed71537554d?auto=format&fit=crop&w=1920	/home/jcminarro/websites/Grupo%20Alfa/images.unsplash.com/photo-1707903244219-8ed71537554d3d83.jpg	(from https://grupoalfa.net/)
11:38:55	9857/9857	URF---	200	added ('OK%20(cached)')	image/png		https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=190,fit=crop/mp8qDEy2Q3treMXb/logo-grupo-alfa-texto-blanco-dJo5gnrBppTK5MK2.png	/home/jcminarro/websites/Grupo%20Alfa/assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=190,fit=crop/mp8qDEy2Q3treMXb/logo-grupo-alfa-texto-blanco-dJo5gnrBppTK5MK2.png	(from https://grupoalfa.net/proyectos)
11:38:55	10348/10348	URF---	200	added ('OK%20(cached)')	image/png		https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=202,fit=crop/mp8qDEy2Q3treMXb/logo-grupo-alfa-texto-blanco-dJo5gnrBppTK5MK2.png	/home/jcminarro/websites/Grupo%20Alfa/assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=202,fit=crop/mp8qDEy2Q3treMXb/logo-grupo-alfa-texto-blanco-dJo5gnrBppTK5MK2.png	(from https://grupoalfa.net/proyectos)
11:39:48	45337/45337	URF---	200	added ('OK%20(cached)')	image/jpeg		https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=550,fit=crop/mp8qDEy2Q3treMXb/generated-image-august-29-2025---12_21pm-YX4j57OkOzhe1Naz.jpeg	/home/jcminarro/websites/Grupo%20Alfa/assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=550,fit=crop/mp8qDEy2Q3treMXb/generated-image-august-29-2025---12_21pm-YX4j57OkOzhe1Naz.jpg	(from https://grupoalfa.net/proyectos)
11:39:54	19155/19155	URF---	200	added ('OK%20(cached)')	image/jpeg		https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=437,fit=crop/mp8qDEy2Q3treMXb/generated-image-august-29-2025---12_21pm-YX4j57OkOzhe1Naz.jpeg	/home/jcminarro/websites/Grupo%20Alfa/assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=437,fit=crop/mp8qDEy2Q3treMXb/generated-image-august-29-2025---12_21pm-YX4j57OkOzhe1Naz.jpg	(from https://grupoalfa.net/proyectos)
11:40:33	50473/50473	URF---	200	added ('OK%20(cached)')	image/jpeg		https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=550,fit=crop/mp8qDEy2Q3treMXb/generated-image-august-29-2025---12_27pm-mjE4yeDx8ktgk7ZK.jpeg	/home/jcminarro/websites/Grupo%20Alfa/assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=550,fit=crop/mp8qDEy2Q3treMXb/generated-image-august-29-2025---12_27pm-mjE4yeDx8ktgk7ZK.jpg	(from https://grupoalfa.net/proyectos)
11:40:33	22553/22553	URF---	200	added ('OK%20(cached)')	image/jpeg		https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=437,fit=crop/mp8qDEy2Q3treMXb/generated-image-august-29-2025---12_27pm-mjE4yeDx8ktgk7ZK.jpeg	/home/jcminarro/websites/Grupo%20Alfa/assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=437,fit=crop/mp8qDEy2Q3treMXb/generated-image-august-29-2025---12_27pm-mjE4yeDx8ktgk7ZK.jpg	(from https://grupoalfa.net/proyectos)
11:41:18	54919/54919	URF---	200	added ('OK%20(cached)')	image/jpeg		https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=550,fit=crop/mp8qDEy2Q3treMXb/generated-image-august-29-2025---5_55pm-YNqMEjrevDSXprnX.jpeg	/home/jcminarro/websites/Grupo%20Alfa/assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=550,fit=crop/mp8qDEy2Q3treMXb/generated-image-august-29-2025---5_55pm-YNqMEjrevDSXprnX.jpg	(from https://grupoalfa.net/proyectos)
11:41:24	25706/25706	URF---	200	added ('OK%20(cached)')	image/jpeg		https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=437,fit=crop/mp8qDEy2Q3treMXb/generated-image-august-29-2025---5_55pm-YNqMEjrevDSXprnX.jpeg	/home/jcminarro/websites/Grupo%20Alfa/assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=437,fit=crop/mp8qDEy2Q3treMXb/generated-image-august-29-2025---5_55pm-YNqMEjrevDSXprnX.jpg	(from https://grupoalfa.net/proyectos)
11:41:53	25768/25768	URF---	200	added ('OK%20(cached)')	image/jpeg		https://images.unsplash.com/photo-1518733057094-95b53143d2a7?auto=format&fit=crop&w=194&h=464	/home/jcminarro/websites/Grupo%20Alfa/images.unsplash.com/photo-1518733057094-95b53143d2a791b7.jpg	(from https://grupoalfa.net/)
11:42:03	35875/35875	URF---	200	added ('OK%20(cached)')	image/jpeg		https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=550,fit=crop/mp8qDEy2Q3treMXb/generated-image-august-29-2025---6_03pm-YKb8pOWLyzFgDJoN.jpeg	/home/jcminarro/websites/Grupo%20Alfa/assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=550,fit=crop/mp8qDEy2Q3treMXb/generated-image-august-29-2025---6_03pm-YKb8pOWLyzFgDJoN.jpg	(from https://grupoalfa.net/proyectos)
11:42:35	49476/49476	URF---	200	added ('OK%20(cached)')	image/jpeg		https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=550,fit=crop/mp8qDEy2Q3treMXb/generated-image-august-29-2025---7_18pm-Y4LPKq0yW3TEaMVJ.jpeg	/home/jcminarro/websites/Grupo%20Alfa/assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=550,fit=crop/mp8qDEy2Q3treMXb/generated-image-august-29-2025---7_18pm-Y4LPKq0yW3TEaMVJ.jpg	(from https://grupoalfa.net/proyectos)
11:42:53	19493/19493	URF---	200	added ('OK%20(cached)')	image/jpeg		https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=437,fit=crop/mp8qDEy2Q3treMXb/generated-image-august-29-2025---7_19pm-YBgjVPKKvRtl8JQ3.jpeg	/home/jcminarro/websites/Grupo%20Alfa/assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=437,fit=crop/mp8qDEy2Q3treMXb/generated-image-august-29-2025---7_19pm-YBgjVPKKvRtl8JQ3.jpg	(from https://grupoalfa.net/proyectos)
11:43:19	73091/73091	URF---	200	added ('OK%20(cached)')	image/jpeg		https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=550,fit=crop/mp8qDEy2Q3treMXb/whatsapp-image-2025-08-01-at-17.09.17-dWxOKaxe5VIGjv0Y.jpeg	/home/jcminarro/websites/Grupo%20Alfa/assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=550,fit=crop/mp8qDEy2Q3treMXb/whatsapp-image-2025-08-01-at-17.09.17-dWxOKaxe5VIGjv0Y.jpg	(from https://grupoalfa.net/proyectos)
11:43:31	26708/26708	URF---	200	added ('OK%20(cached)')	image/jpeg		https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=437,fit=crop/mp8qDEy2Q3treMXb/whatsapp-image-2025-08-01-at-17.09.17-dWxOKaxe5VIGjv0Y.jpeg	/home/jcminarro/websites/Grupo%20Alfa/assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=437,fit=crop/mp8qDEy2Q3treMXb/whatsapp-image-2025-08-01-at-17.09.17-dWxOKaxe5VIGjv0Y.jpg	(from https://grupoalfa.net/proyectos)
11:44:03	42585/42585	URF---	200	added ('OK%20(cached)')	image/jpeg		https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=550,fit=crop/mp8qDEy2Q3treMXb/generated-image-august-29-2025---6_48pm-AGBz9ZMvP6fVNlzp.jpeg	/home/jcminarro/websites/Grupo%20Alfa/assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=550,fit=crop/mp8qDEy2Q3treMXb/generated-image-august-29-2025---6_48pm-AGBz9ZMvP6fVNlzp.jpg	(from https://grupoalfa.net/proyectos)
11:44:29	57203/57203	URF---	200	added ('OK%20(cached)')	image/jpeg		https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=550,fit=crop/mp8qDEy2Q3treMXb/generated-image-august-29-2025---7_24pm-mnl4eajpVasgXJ67.jpeg	/home/jcminarro/websites/Grupo%20Alfa/assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=550,fit=crop/mp8qDEy2Q3treMXb/generated-image-august-29-2025---7_24pm-mnl4eajpVasgXJ67.jpg	(from https://grupoalfa.net/proyectos)
11:44:46	49429/49429	URF---	200	added ('OK%20(cached)')	image/jpeg		https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=550,fit=crop/mp8qDEy2Q3treMXb/generated-image-august-29-2025---7_25pm-A0xvqEJ6l2FgONpM.jpeg	/home/jcminarro/websites/Grupo%20Alfa/assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=550,fit=crop/mp8qDEy2Q3treMXb/generated-image-august-29-2025---7_25pm-A0xvqEJ6l2FgONpM.jpg	(from https://grupoalfa.net/proyectos)
11:44:47	25076/25076	URF---	200	added ('OK%20(cached)')	image/jpeg		https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=437,fit=crop/mp8qDEy2Q3treMXb/generated-image-august-29-2025---7_24pm-mnl4eajpVasgXJ67.jpeg	/home/jcminarro/websites/Grupo%20Alfa/assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=437,fit=crop/mp8qDEy2Q3treMXb/generated-image-august-29-2025---7_24pm-mnl4eajpVasgXJ67.jpg	(from https://grupoalfa.net/proyectos)
11:44:48	51145/51145	URF---	200	added ('OK%20(cached)')	image/jpeg		https://images.pexels.com/videos/7646697/buying-a-house-new-home-realtor-realty-7646697.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=630&w=1200	/home/jcminarro/websites/Grupo%20Alfa/images.pexels.com/videos/7646697/buying-a-house-new-home-realtor-realty-76466978a9e.jpg	(from https://grupoalfa.net/promotores)
11:45:30	51400/51400	URF---	200	added ('OK%20(cached)')	image/jpeg		https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=550,fit=crop/mp8qDEy2Q3treMXb/generated-image-august-29-2025---7_30pm-YZ9E5J31p8HJN5kG.jpeg	/home/jcminarro/websites/Grupo%20Alfa/assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=550,fit=crop/mp8qDEy2Q3treMXb/generated-image-august-29-2025---7_30pm-YZ9E5J31p8HJN5kG.jpg	(from https://grupoalfa.net/proyectos)
11:46:09	54659/54659	URF---	200	added ('OK%20(cached)')	image/jpeg		https://images.unsplash.com/photo-1616046229478-9901c5536a45?auto=format&fit=crop&w=787&h=210	/home/jcminarro/websites/Grupo%20Alfa/images.unsplash.com/photo-1616046229478-9901c5536a456111.jpg	(from https://grupoalfa.net/promotores)
11:46:10	76087/76087	URF---	200	added ('OK%20(cached)')	image/jpeg		https://images.pexels.com/videos/3209211/free-video-3209211.jpg?auto=compress&cs=tinysrgb&fit=crop&h=630&w=1200	/home/jcminarro/websites/Grupo%20Alfa/images.pexels.com/videos/3209211/free-video-32092118a9e.jpg	(from https://grupoalfa.net/inversores)
11:46:20	58104/58104	URF---	200	added ('OK%20(cached)')	image/jpeg		https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=550,fit=crop/mp8qDEy2Q3treMXb/generated-image-august-29-2025---7_33pm-mnl4ea1GPxUxXMDX.jpeg	/home/jcminarro/websites/Grupo%20Alfa/assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=550,fit=crop/mp8qDEy2Q3treMXb/generated-image-august-29-2025---7_33pm-mnl4ea1GPxUxXMDX.jpg	(from https://grupoalfa.net/proyectos)
11:46:39	27764/27764	URF---	200	added ('OK%20(cached)')	image/jpeg		https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=437,fit=crop/mp8qDEy2Q3treMXb/generated-image-august-29-2025---7_33pm-mnl4ea1GPxUxXMDX.jpeg	/home/jcminarro/websites/Grupo%20Alfa/assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=437,fit=crop/mp8qDEy2Q3treMXb/generated-image-august-29-2025---7_33pm-mnl4ea1GPxUxXMDX.jpg	(from https://grupoalfa.net/proyectos)
11:46:49	27045/27045	URF---	200	added ('OK%20(cached)')	image/jpeg		https://images.unsplash.com/photo-1616046229478-9901c5536a45?auto=format&fit=crop&w=283&h=276	/home/jcminarro/websites/Grupo%20Alfa/images.unsplash.com/photo-1616046229478-9901c5536a45e317.jpg	(from https://grupoalfa.net/promotores)
11:47:25	15906/15906	URF---	200	added ('OK%20(cached)')	image/jpeg		https://images.unsplash.com/photo-1549923746-c502d488b3ea?auto=format&fit=crop&w=320&h=213	/home/jcminarro/websites/Grupo%20Alfa/images.unsplash.com/photo-1549923746-c502d488b3ea5aa9.jpg	(from https://grupoalfa.net/inversores)
11:47:36	21275/21275	URF---	200	added ('OK%20(cached)')	image/jpeg		https://images.unsplash.com/photo-1549923746-c502d488b3ea?auto=format&fit=crop&w=328&h=320	/home/jcminarro/websites/Grupo%20Alfa/images.unsplash.com/photo-1549923746-c502d488b3eafc39.jpg	(from https://grupoalfa.net/inversores)
11:47:54	12584/12584	URF---	200	added ('OK%20(cached)')	image/jpeg		https://images.unsplash.com/photo-1579621970588-a35d0e7ab9b6?auto=format&fit=crop&w=334&h=223	/home/jcminarro/websites/Grupo%20Alfa/images.unsplash.com/photo-1579621970588-a35d0e7ab9b6f5e6.jpg	(from https://grupoalfa.net/inversores)
11:48:04	16695/16695	URF---	200	added ('OK%20(cached)')	image/jpeg		https://images.unsplash.com/photo-1579621970588-a35d0e7ab9b6?auto=format&fit=crop&w=328&h=320	/home/jcminarro/websites/Grupo%20Alfa/images.unsplash.com/photo-1579621970588-a35d0e7ab9b6fc39.jpg	(from https://grupoalfa.net/inversores)
11:48:39	21885/21885	URF---	200	added ('OK%20(cached)')	image/jpeg		https://images.unsplash.com/photo-1560518883-ce09059eeffa?auto=format&fit=crop&w=328&h=320	/home/jcminarro/websites/Grupo%20Alfa/images.unsplash.com/photo-1560518883-ce09059eeffafc39.jpg	(from https://grupoalfa.net/inversores)
11:48:48	8855/8855	URF---	200	added ('OK%20(cached)')	image/png		https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=164,fit=crop/mp8qDEy2Q3treMXb/logo-grupo-alfa-horizontal-negro-A0xjZ3p5p7TZrR4K.png	/home/jcminarro/websites/Grupo%20Alfa/assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=164,fit=crop/mp8qDEy2Q3treMXb/logo-grupo-alfa-horizontal-negro-A0xjZ3p5p7TZrR4K.png	(from https://grupoalfa.net/inversores)
11:49:08	9914/9914	URF---	200	added ('OK%20(cached)')	image/png		https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=375,fit=crop/mp8qDEy2Q3treMXb/ubi-mxBXjE55nLuQqgzr.png	/home/jcminarro/websites/Grupo%20Alfa/assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=375,fit=crop/mp8qDEy2Q3treMXb/ubi-mxBXjE55nLuQqgzr.png	(from https://grupoalfa.net/inversores)
11:49:09	74251/74251	URF---	200	added ('OK%20(cached)')	image/jpeg		https://images.pexels.com/videos/30339655/dogue-husky-30339655.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=630&w=1200	/home/jcminarro/websites/Grupo%20Alfa/images.pexels.com/videos/30339655/dogue-husky-303396558a9e.jpg	(from https://grupoalfa.net/alfa-hunters)
11:49:28	9580/9580	URF---	200	added ('OK%20(cached)')	image/png		https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=375,fit=crop/mp8qDEy2Q3treMXb/alquielres-mxBXjE1jVLuQgbbP.png	/home/jcminarro/websites/Grupo%20Alfa/assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=375,fit=crop/mp8qDEy2Q3treMXb/alquielres-mxBXjE1jVLuQgbbP.png	(from https://grupoalfa.net/inversores)
